Id,Name,DaysSigned,DaysMissed,Gender,State,Party,Constituency
278,Kunwar  Rewati Raman  Singh,251,36,1,Uttar Pradesh,SP,
279,Dr.    Bali Ram,269,18,1,Uttar Pradesh,BSP,
280,Shri  Gurudas  Das Gupta,250,37,1,West Bengal,CPI,
282,Prof.  Saugata  Ray,76,30,1,West Bengal,AITC,
283,Shri  Shailendra  Kumar,277,10,1,Uttar Pradesh,SP,
284,Shri  Bhisma  Shankar Alias Kushal Tiwari,228,59,1,Uttar Pradesh,BSP,
285,Dr.  M.  Thambidurai,240,47,1,Tamil Nadu,AIADMK,
286,Shri  Akhilesh  Yadav,146,127,1,Uttar Pradesh,SP,
287,Shri  Ashok Kumar  Rawat,247,40,1,Uttar Pradesh,BSP,
288,Dr.  Shafiqur Rahman  Barq,282,5,1,Uttar Pradesh,BSP,
289,Shri  Baju Ban  Riyan,246,41,1,Tripura,CPIM,
290,Shri  S.  Semmalai,244,43,1,Tamil Nadu,AIADMK,
291,Shri  Kalyan  Singh,141,118,1,Uttar Pradesh,IND,
292,Shri  Brij Bhushan Sharan  Singh,245,42,1,Uttar Pradesh,SP,
293,Shri  Tufani  Saroj,253,34,1,Uttar Pradesh,SP,
294,Shri  Jagdish Singh  Rana,244,43,1,Uttar Pradesh,BSP,Saharanpur
295,Shri  Vijay Bahadur  Singh,243,44,1,Uttar Pradesh,BSP,
296,Dr.  Ram Chandra  Dome,238,49,1,West Bengal,CPIM,
297,Shri  Khagen  Das,219,68,1,Tripura,CPIM,
298,Shri  O. S.  Manian,179,108,1,Tamil Nadu,AIADMK,
299,Shri  R.K. Singh  Patel,241,46,1,Uttar Pradesh,SP,
300,Smt.  Sushila  Saroj,252,35,0,Uttar Pradesh,SP,
301,Smt.  Seema  Upadhyay,250,37,0,Uttar Pradesh,BSP,
302,Smt. Tabassum  Hasan,198,89,0,Uttar Pradesh,BSP,
303,Shri  Prabodh  Panda,260,27,1,West Bengal,CPI,
304,Shri  Bansagopal  Chowdhury,187,100,1,West Bengal,CPIM,
305,Shri  P.  Venugopal,253,34,1,Tamil Nadu,AIADMK,
306,Shri  C.  Rajendran,556,344,1,Tamil Nadu,AIADMK,
